Accession	Molecular Function(EcoCyc)
P19925	transferase activity|metal ion binding
P00550	transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity
P0ADX9	methyltransferase activity|transferase activity
B1X6F7	RNA binding|rRNA binding
C5A0C5	oxidoreductase activity
C4ZR74	L-ribulose-5-phosphate 3-epimerase activity|isomerase activity
B1XCQ3	nickel ion binding|metal ion binding
P76291	methyltransferase activity|transferase activity
P0ACC9	transferase activity|acyltransferase activity
P75823	threonine aldolase activity|lyase activity
P0AGE0	DNA binding
B1XFN4	hydrolase activity
P65643	transferase activity|nucleotide binding|ATP binding|cob(I)yrinic acid a,c-diamide adenosyltransferase activity
C4ZZ70	lyase activity|adenylate cyclase activity
B1XEN9	hydrolase activity|peptidase activity|aminopeptidase activity|metal ion binding
P76909	nucleotide binding|ATP binding
P0A6I9	transferase activity|nucleotide binding|kinase activity|ATP binding|dephospho-CoA kinase activity
B1XFK0	transferase activity|kinase activity|nucleotidyltransferase activity
C4ZUE1	hydrolase activity|peptide deformylase activity|metal ion binding
C4ZY48	hydrolase activity
B1X8A7	nucleotide binding|ATP binding
B1XAJ7	methyltransferase activity|transferase activity
C4ZVH7	DNA binding
P37677	L-xylulokinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
P23893	glutamate-1-semialdehyde 2,1-aminomutase activity|isomerase activity
C4ZU96	transferase activity, transferring glycosyl groups|transferase activity
P11664	transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZZ47	hydrolase activity|guanosine-5'-triphosphate,3'-diphosphate diphosphatase activity
Q46856	oxidoreductase activity|metal ion binding
C4ZZ00	transferase activity|kinase activity
P24197	oxidoreductase activity|metal ion binding
C4ZSD3	transferase activity
C4ZPW5	oxidoreductase activity
B1XD57	ligase activity, forming carbon-nitrogen bonds|nucleotide binding|ATP binding|ligase activity
B1XGF9	peptidase activity
P52612	hydrolase activity|nucleotide binding|ATP binding
B1XG11	3-deoxy-7-phosphoheptulonate synthase activity|transferase activity
P76369	DNA binding
B1XHJ5	N-acylmannosamine kinase activity|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
B1XFA7	glutathione synthase activity|ATP binding
C4ZUK6	antiporter activity
P05041	transferase activity|4-amino-4-deoxychorismate synthase activity
B1XD07	transferase activity|acyltransferase activity
P60546	transferase activity|guanylate kinase activity|nucleotide binding|kinase activity|ATP binding
P77615	DNA binding
P0A9R7	nucleotide binding|ATP binding
C5A162	acetate-CoA ligase activity|nucleotide binding|ligase activity|ATP binding
P0A6D7	shikimate kinase activity|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding
C4ZSK1	ATP binding
P76524	hydrolase activity|peptidase activity|aminopeptidase activity
C4ZZF8	iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
P27832	transferase activity|acyltransferase activity
P76459	acetate CoA-transferase activity|transferase activity
C5A0V1	transferase activity|malate synthase activity
C4ZXM5	transferase activity
C5A0L1	transferase activity|nucleotide binding|methionine adenosyltransferase activity|metal ion binding|ATP binding
P0A784	hydrolase activity|exonuclease activity|nuclease activity
P0AGG2	hydrolase activity
P60624	RNA binding|rRNA binding
C4ZW62	DNA binding
B1X7X1	DNA binding
C4ZVN2	isomerase activity|oxidoreductase activity|lyase activity|enoyl-CoA hydratase activity|3-hydroxybutyryl-CoA epimerase activity|catalytic activity|3-hydroxyacyl-CoA dehydrogenase activity
C5A0H5	glycine dehydrogenase (decarboxylating) activity|oxidoreductase activity
B1XER1	nucleotide binding|ATP binding
P0A932	porin activity
P0AGJ5	methyltransferase activity|transferase activity
P77747	porin activity
B1XET5	isomerase activity|racemase and epimerase activity, acting on carbohydrates and derivatives
B1X9F4	DNA binding
C4ZTB6	4-hydroxy-2-oxovalerate aldolase activity|manganese ion binding|lyase activity|metal ion binding
P0A7I7	hydrolase activity|GTP binding|nucleotide binding|GTP cyclohydrolase II activity|metal ion binding
C4ZZC6	DNA binding
C4ZWD8	hydrolase activity|hydrolase activity, acting on glycosyl bonds
C4ZUC5	oxidoreductase activity|quinone binding|NADH dehydrogenase (quinone) activity
B1XHN3	DNA binding
B1XG16	hydrolase activity|cobalamin-transporting ATPase activity|nucleotide binding|ATP binding
B1XAL9	endonuclease activity
P13656	hydrolase activity|chitin binding|hydrolase activity, acting on glycosyl bonds|lysozyme activity|chitinase activity|catalytic activity
C4ZWK2	succinate-CoA ligase (ADP-forming) activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
C4ZXL8	transferase activity
P0AGF4	symporter activity
Q57261	isomerase activity
P0AC81	lyase activity|lactoylglutathione lyase activity|metal ion binding
C4ZYA0	RNA binding|tyrosine-tRNA ligase activity|nucleotide binding|aminoacyl-tRNA ligase activity|ligase activity|ATP binding
P0AAI5	beta-ketoacyl-acyl-carrier-protein synthase II activity|transferase activity|acyltransferase activity
P31120	isomerase activity|phosphoglucosamine mutase activity|metal ion binding
B1X923	transferase activity, transferring glycosyl groups|amidophosphoribosyltransferase activity|transferase activity|metal ion binding
P0A988	DNA-directed DNA polymerase activity|transferase activity|nucleotidyltransferase activity
P0AEF0	nucleotide binding|ATP binding
B1XB73	DNA binding|sequence-specific DNA binding transcription factor activity
C4ZZZ2	DNA binding
B1X8C0	transferase activity|acyltransferase activity
P0AGC3	lyase activity|carbon-oxygen lyase activity, acting on polysaccharides
C4ZYZ0	transferase activity
P67910	isomerase activity|ADP-glyceromanno-heptose 6-epimerase activity
C4ZZY4	hydrolase activity|nuclease activity|endonuclease activity
B1X9R3	symporter activity
C4ZZ96	NAD+ synthase activity|nucleotide binding|ligase activity|ATP binding
B1XBG5	antiporter activity
B1X8N7	hydrolase activity|nucleotide binding|ATP binding
P45748	RNA binding|tRNA binding|nucleotide binding|ATP binding
P0AAF6	hydrolase activity|nucleotide binding|ATP binding
C4ZYH5	phenylalanine-tRNA ligase activity|magnesium ion binding|tRNA binding|nucleotide binding|ATP binding|ligase activity|RNA binding|aminoacyl-tRNA ligase activity|metal ion binding
C4ZUW9	transferase activity|kinase activity
B1X897	hydrolase activity|nucleotide binding|ATP binding
C4ZXZ7	aldehyde-lyase activity|lyase activity
B1X619	transferase activity
C4ZWZ9	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
B1X975	DNA binding
C4ZXP0	transferase activity|guanylate kinase activity|nucleotide binding|kinase activity|ATP binding
P05050	oxidoreductase activity|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|cytosine C-5 DNA demethylase activity|ferrous iron binding|DNA-N1-methyladenine dioxygenase activity|oxidative RNA demethylase activity|metal ion binding
B1XED6	oxidoreductase activity
C4ZYZ9	hydrolase activity|hydrolase activity, acting on glycosyl bonds
Q5H776	hydrolase activity
P0A7V8	RNA binding|rRNA binding
B1X627	carboxypeptidase activity
P07363	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
C4ZU89	L-rhamnonate dehydratase activity|lyase activity|metal ion binding
B1X9L5	transferase activity|acetyl-CoA C-acyltransferase activity|acyltransferase activity
P0AE60	DNA binding
C5A0U9	transferase activity
C4ZZ67	methyltransferase activity
P76373	oxidoreductase activity|UDP-glucose 6-dehydrogenase activity
P0ACR2	DNA binding
P0AE56	iron-sulfur cluster binding|2 iron, 2 sulfur cluster binding|metal ion binding
P0A910	porin activity
P32055	isomerase activity|oxidoreductase activity|GDP-L-fucose synthase activity|catalytic activity
B1X8K7	transferase activity
C4ZSE7	transferase activity
P71229	DNA binding|nucleotide binding|ATP binding
C4ZYF5	lyase activity|3-dehydroquinate dehydratase activity
P00909	isomerase activity|lyase activity|indole-3-glycerol-phosphate synthase activity|phosphoribosylanthranilate isomerase activity|carboxy-lyase activity|catalytic activity
B1XGQ9	DNA binding
B1XGB9	transferase activity|kinase activity
P0AFU4	DNA binding|nucleotide binding|ATP binding
P0AFI2	isomerase activity|DNA topoisomerase activity|DNA binding
P60422	RNA binding|rRNA binding
P0A858	isomerase activity|triose-phosphate isomerase activity
C4ZY11	carboxypeptidase activity
C4ZU39	metal ion binding
B1XHC6	hydrolase activity|nucleotide binding|ATP binding
B1X785	3-deoxy-7-phosphoheptulonate synthase activity|transferase activity
P0A6U5	methyltransferase activity|transferase activity
C4ZTY6	nucleotide binding|ATP binding
B1X6J0	GTP binding|translation elongation factor activity|nucleotide binding
P18777	oxidoreductase activity
B1XBC5	lyase activity|argininosuccinate lyase activity
P0A830	symporter activity
B1XDV7	isomerase activity|peptidyl-prolyl cis-trans isomerase activity
P0AAF3	hydrolase activity|monosaccharide-transporting ATPase activity|nucleotide binding|ATP binding
C4ZSP4	peptidase activity
B1XD53	DNA-directed DNA polymerase activity|transferase activity|nucleotidyltransferase activity
P21645	transferase activity|acyltransferase activity
A5PFJ8	DNA binding
P0ACN7	DNA binding
C4ZQ71	oxidoreductase activity|dihydroorotate dehydrogenase activity
B1XH76	hydrolase activity
B1X9X4	symporter activity
B1X6Z5	transferase activity
C4ZV55	DNA binding
P05793	oxidoreductase activity|ketol-acid reductoisomerase activity
C4ZU07	DNA binding
B1XGT7	kinase activity
B1XF01	DNA binding|nucleotide binding|metal ion binding|ATP binding
C4ZVS0	transferase activity|kinase activity
B1X9W2	hydrolase activity|nucleotide binding|ATP binding
B1X705	DNA binding
C4ZZR6	oxidoreductase activity|phosphoadenylyl-sulfate reductase (thioredoxin) activity
C4ZVW0	transferase activity|kinase activity
B1XFB4	hydrolase activity|nucleoside-triphosphate diphosphatase activity|nucleotide binding|metal ion binding
P32152	transferase activity|DNA binding|kinase activity
P08202	isomerase activity|L-arabinose isomerase activity|metal ion binding
P32131	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|oxidoreductase activity|coproporphyrinogen dehydrogenase activity|metal ion binding
P0A7H0	DNA binding|nucleotide binding|ATP binding
C4ZQ09	peptidase activity|nucleotide binding|ATP binding
P37617	hydrolase activity|zinc-exporting ATPase activity|cadmium-exporting ATPase activity|nucleotide binding|metal ion binding|ATP binding
P0A744	oxidoreductase activity|peptide-methionine-(S)-S-oxide reductase activity
P0A7X3	RNA binding|tRNA binding
C4ZUV7	ligase activity
B1X942	oxidoreductase activity|glycerol-3-phosphate dehydrogenase [NAD(P)+] activity
C4ZTE5	oxidoreductase activity|pyrroline-5-carboxylate reductase activity
P0ABJ1	oxidoreductase activity
P52636	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
B1XE65	4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
C4ZY24	nucleotide binding|metal ion binding|ATP binding
C4ZUX0	nucleotide binding|ATP binding
P77626	DNA binding
C4ZXU9	magnesium ion binding|nucleotide binding|dethiobiotin synthase activity|metal ion binding|ATP binding|ligase activity
C4ZQ16	DNA binding|nucleotide binding|ATP binding
B1X8W4	hydrolase activity
P0ADI0	recombinase activity|DNA binding
C4ZUT4	hydrolase activity|nucleotide binding|metal ion binding
P0AA99	hydrolase activity|transferase activity, transferring glycosyl groups|transferase activity
B1XC15	hydrolase activity|phosphoprotein phosphatase activity|transferase activity|kinase activity|nucleotide binding|[isocitrate dehydrogenase (NADP+)] kinase activity|ATP binding
C5A0P1	transferase activity|malate synthase activity
P07604	DNA binding|nucleotide binding|ATP binding
C4ZRR8	hydrolase activity|metallopeptidase activity|peptidase activity
P0ACF0	DNA binding
B1XBE4	antiporter activity|sodium ion transmembrane transporter activity
P77260	oxidoreductase activity
Q46857	oxidoreductase activity|2,5-didehydrogluconate reductase activity
C4ZTS4	hydrolase activity
P0CF66	DNA binding
C4ZQU9	isomerase activity|DNA topoisomerase activity|nucleotide binding|ATP binding
P60651	hydrolase activity|agmatinase activity|metal ion binding
B1XEU9	oxidoreductase activity|metal ion binding
B1XCZ7	hydrolase activity
B1XB25	DNA binding
B1XAM9	isomerase activity
P11071	hydrolase activity|phosphoprotein phosphatase activity|transferase activity|kinase activity|nucleotide binding|[isocitrate dehydrogenase (NADP+)] kinase activity|ATP binding
P36561	transferase activity
C4ZTH0	DNA binding|nucleotide binding|metal ion binding|ATP binding
B1XDJ1	hydrolase activity
P0AEJ4	transferase activity|protein histidine kinase activity|nucleotide binding|kinase activity|ATP binding
P13669	DNA binding
C4ZQ97	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|3 iron, 4 sulfur cluster binding|metal ion binding
P60560	oxidoreductase activity|GMP reductase activity|metal ion binding
P68739	hydrolase activity|deoxyribonuclease V activity|endonuclease activity|nuclease activity
C4ZUA1	substrate-specific transmembrane transporter activity
B1XEA1	hydrolase activity|nucleotide binding|ATP binding
B1XAN8	hydrolase activity|alpha,alpha-trehalase activity|hydrolase activity, acting on glycosyl bonds
B1X900	oxidoreductase activity|quinone binding|NADH dehydrogenase (quinone) activity
P21338	hydrolase activity|Enterobacter ribonuclease activity|endonuclease activity|nuclease activity
B1XCW2	symporter activity
C4ZXE0	oxidoreductase activity
P75726	lyase activity|citrate CoA-transferase activity|citrate (pro-3S)-lyase activity|transferase activity
P00804	hydrolase activity|peptidase activity|aspartic-type endopeptidase activity
B1XAW3	4 iron, 4 sulfur cluster binding|iron-sulfur cluster binding|metal ion binding
P17888	hydrolase activity|helicase activity|DNA binding|nucleotide binding|metal ion binding|ATP binding
B1X850	cytidylate kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding
C4ZQ38	DNA binding
B1XC65	UDP-N-acetylmuramoylalanine-D-glutamate ligase activity|nucleotide binding|ligase activity|ATP binding
P67701	DNA binding
B1X893	metal ion binding
B1XG21	phenylalanine-tRNA ligase activity|aminoacyl-tRNA ligase activity|nucleotide binding|metal ion binding|ATP binding|ligase activity
P0A879	lyase activity|tryptophan synthase activity
P33594	hydrolase activity|nickel-transporting ATPase activity|nucleotide binding|ATP binding
P0ABG1	phosphatidate cytidylyltransferase activity|transferase activity|nucleotidyltransferase activity
P0ABK5	cysteine synthase activity|transferase activity|catalytic activity
P37339	(S)-2-hydroxy-acid oxidase activity|oxidoreductase activity
B1XBD3	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity|transferase activity
C5A125	hydrolase activity|lyase activity|hydrolase activity, acting on glycosyl bonds|magnesium ion binding|tryptophan synthase activity
B1X5W4	receptor activity
C4ZU48	nitrate reductase activity|4 iron, 4 sulfur cluster binding|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding
B1X967	transferase activity
